year,district_code,district_name,n_households_matched,n_households_child_bearing,pct_households_childless,asset_index,edu_index,health_index_all_hh,health_index_child_hh,hdi_all_hh,hdi_child_hh,hdi_urban_all_hh,hdi_rural_all_hh,hdi_urban_child_hh,hdi_rural_child_hh
2011,1,Bahawalpur,3957,1823,53.92974475612838,0.2988527965330101,0.30823065970073105,0.44736139629245986,0.390779013220175,0.35148161750873375,0.33311152549647444,0.4691078758797494,0.3021765027162874,0.4665736986926954,0.2801566937109648
2011,2,Bahawalnagar,2772,1361,50.901875901875904,0.3116682190476681,0.33227275222761166,0.4117240503584954,0.33758117547257,0.3518883405445917,0.3324771444613745,0.4279802166858356,0.3326799861008311,0.416257534704262,0.3124455043780039
2011,3,RY Khan,3681,1950,47.02526487367563,0.32173222678589414,0.294193530078319,0.4016119097168299,0.3439656348836135,0.3391792221936811,0.32206068090315076,0.45384006708011665,0.30844243707297675,0.45225278108812195,0.29118177675545254
2011,4,DG Khan,1724,941,45.417633410672856,0.2627076023297554,0.25604616725476403,0.26130827532703577,0.21698758533775783,0.26002068163718506,0.23985277352595855,0.44082144254529254,0.22833906656590197,0.4486658656283022,0.21169129728888111
2011,5,Layyah,1964,1062,45.926680244399186,0.3063022745538211,0.34656631206419014,0.43839987285213966,0.3939652191722637,0.36375615315671694,0.34891689416331756,0.4877178566188218,0.344227310491202,0.48364828256043535,0.332882190518598
2011,6,Muzaffargarh,2959,1598,45.9952686718486,0.2405908074449367,0.2691487612059467,0.3451283900082441,0.3076907217802497,0.28495598621970913,0.2798361434680923,0.39846295710583635,0.26843234276721994,0.40367793362353116,0.2637389043394781
2011,7,Rajanpur,1751,982,43.91776127926899,0.2104021798522612,0.21362199894448453,0.33833513961371386,0.27834710928421275,0.2541197728034865,0.22859278125638294,0.4202116311395148,0.22867176866509864,0.4210313854199892,0.20669914699991968
2011,8,Faisalabad,6046,2765,54.2672841548131,0.4350118526142397,0.43346245121452964,0.49108342314238257,0.4276797177435611,0.45318590899038397,0.4409011508212974,0.49691416502479263,0.4211771906598425,0.4855486584019795,0.41245622750719735
2011,9,Chiniot,1618,800,50.55624227441285,0.31426086971538875,0.3231427730621224,0.4368849143155615,0.3319621975772905,0.3580961856976909,0.33538117265179246,0.44708566448857195,0.3242158590840595,0.43792213912364125,0.29598234161416004
2011,10,Jhang,2764,1387,49.8191027496382,0.2866610571933331,0.3346763934390425,0.44760446539115273,0.3847664999085596,0.35631397200784276,0.33970205232577405,0.44305557684901026,0.3376399090704223,0.4351615268921005,0.32195849098401663
2011,11,TT Singh,1990,917,53.91959798994975,0.4168390306034823,0.41013868719258406,0.5028253289723909,0.43511508084678974,0.4432676822561525,0.4327095565423264,0.5025240599861794,0.4302314315328253,0.5106509461381253,0.41741057689972977
2011,12,Gujranwala,4676,2315,50.49187339606501,0.4462093865776594,0.46736939644552955,0.5221362420739951,0.4825896203924426,0.4785716750323947,0.4775510228692375,0.5014563125314458,0.4549877144302367,0.5029867149803671,0.4505003291396135
2011,13,Gujrat,2488,1121,54.943729903536976,0.45241165017145485,0.4514503035115292,0.6085790077376659,0.5631532872225335,0.5041469871402167,0.5000382150995104,0.5379718349698713,0.4940799617686602,0.507801196267751,0.49805906979882253
2011,14,Hafizabad,1216,585,51.89144736842105,0.3596538586169682,0.38489013153627005,0.5388294242043946,0.48364471088265215,0.42779113811921093,0.41617202101547646,0.4663612427283495,0.4095482571073005,0.4687655857706785,0.38385489555652613
2011,15,Mandi Bahauddin,1639,698,57.4130567419158,0.4172163265444732,0.41739666383418206,0.4853881105380604,0.4332601576395088,0.44000036697223854,0.43970132369224363,0.5028850922985431,0.4315897726674093,0.5084878367696617,0.43209504255955705
2011,16,Narowal,2244,1111,50.49019607843137,0.4058115631692559,0.43980333138137645,0.4492472494388794,0.4179767758574902,0.43162071466317053,0.431235115475866,0.4725254690439806,0.4260749391267276,0.4433492952464642,0.4296966545257064
2011,17,Sialkot,3286,1545,52.982349360925134,0.44114438480211404,0.47788290124180927,0.506616984996123,0.4626313333179789,0.4752147570133487,0.47087468234399105,0.5358669718377619,0.4550120878618774,0.5338602150281077,0.4530224982998378
2011,18,Lahore,4632,2089,54.90069084628671,0.4836884968580492,0.5215808503884911,0.5261503390565245,0.4662650952313425,0.5104732287676882,0.4924071762671294,0.5354834493157196,0.42482231484279565,0.5200800691250731,0.4017079761731265
2011,19,Kasur,2845,1371,51.81019332161687,0.3070578621271871,0.33727825468574374,0.4353473208665026,0.36988069945222046,0.3598944792264778,0.3461054680192766,0.4139833796310382,0.34220231500665704,0.4228168760475254,0.32493186944021835
2011,20,Nankana Sahib,2199,986,55.16143701682583,0.36871081325475535,0.3819381351926495,0.48315030163672756,0.41529727130513405,0.4112664166947108,0.40299176938770936,0.4722950674541547,0.39518303079020106,0.46979494958975954,0.38598405868809715
2011,21,Sheikhupura,2807,1365,51.3715710723192,0.4120710838560689,0.4089466428612235,0.4630179285460126,0.40044776234692253,0.4280118850877683,0.42464279384702275,0.48446985581249363,0.4019580547653251,0.48708683222902266,0.39633930105877846
2011,22,Multan,3722,1776,52.283718430951104,0.377168310872038,0.3638859424994723,0.44766668072308485,0.39825044574536866,0.396240311364865,0.3839992543884689,0.48063249339844955,0.35051025808902947,0.49068232893399644,0.33087756469793045
2011,23,Khanewal,2863,1306,54.383513796716734,0.3281468913494742,0.3464271050680707,0.36774712732596637,0.35034249002561163,0.34744037458117044,0.3533629061984407,0.41881402314681987,0.33106893211962557,0.41008761863318455,0.3419666511216761
2011,24,Lodhran,1672,677,59.50956937799043,0.28780295410951995,0.25199574613804776,0.31212942618974293,0.25456076235876357,0.2839760421457702,0.2727523602664548,0.37337633563421035,0.2696420418931553,0.39344240187684926,0.24906703093418336
2011,25,Vehari,2462,1075,56.33631194151097,0.34299160532858824,0.3248324552420501,0.40227157503967037,0.34794115248314544,0.3566985452034362,0.3471283685196911,0.4445181260342754,0.34011631600961784,0.4513617857762874,0.3279150173684705
2011,26,Sahiwal,1847,739,59.989171629669734,0.35323416789555967,0.35476302885908934,0.43066501131192736,0.39289727407458036,0.37955406935552544,0.3711023777683113,0.4923829143249879,0.356781240444742,0.46928067613465174,0.3538591096327272
2011,27,Pakpattan,1696,767,54.77594339622642,0.29059582384714755,0.2814109232453403,0.4266246964964813,0.3499922775381207,0.33287714786298966,0.32199296350385864,0.43207309748531575,0.3166824676635865,0.41192018884650866,0.30768991212326946
2011,28,Okara,2520,1109,55.992063492063494,0.2858490978636794,0.2920208404199272,0.4214901740314565,0.37920670977863713,0.33312003743835444,0.3251433248895213,0.42558674018512327,0.315942963705027,0.42595176676357105,0.30742925333355625
2011,29,Rawalpindi,4230,1705,59.69267139479905,0.44300957318724427,0.5551057531526485,0.5206692507111335,0.4706218392727549,0.5062615256836754,0.49425639157571544,0.5392437063763984,0.47874257316859264,0.5115123213935694,0.478189559235519
2011,30,Attock,2464,1024,58.44155844155844,0.38563396066122996,0.42180917205464785,0.5102273696412546,0.45233577229394284,0.43922350078571076,0.4396374783868141,0.50370832300179,0.4228176326753627,0.5050787657539119,0.42371386509831704
2011,31,Chakwal,2065,740,64.16464891041161,0.3697961624768773,0.4484827399758179,0.5329552503381328,0.4725576775756817,0.4504113842636093,0.4605562348218477,0.5314137350032102,0.44123412811017226,0.5311209806537711,0.45327573327738174
2011,32,Jhelum,1993,860,56.84897139989965,0.40759974378778074,0.4754562562892195,0.5173511218221315,0.4760181890938874,0.4668023739663772,0.4705813862850183,0.5335303032076429,0.44573547148535814,0.5410805268564487,0.45123750433794696
2011,33,Sargodha,3479,1641,52.83127335441219,0.37959642479173566,0.3973630131597285,0.4949904409153632,0.43866880349107795,0.4239832929556091,0.41595948841342545,0.4877958047757859,0.40125328165616003,0.4873353366228821,0.39415347488243624
2011,34,Bhakkar,2017,935,53.64402578086267,0.2974188489387154,0.3283335021117403,0.38635005441739406,0.3418414167991325,0.3373674684892833,0.33446267248188455,0.43092538754493465,0.3154868277989749,0.4430741256653947,0.3127503782662172
2011,35,Khushab,1547,682,55.914673561732386,0.3524654532604497,0.36570123730093207,0.4408312265620629,0.3889834795419225,0.38633263904114823,0.38790776547070327,0.43128280079684594,0.37030989021447397,0.41732516409671777,0.3785233008315178
2011,36,Mianwali,1403,589,58.018531717747685,0.37594507539384475,0.3660666894517268,0.3824147197071115,0.34314204443324703,0.37480882818422767,0.37338230462930744,0.43725596136592954,0.3582837139651861,0.4389381178754824,0.35605282073705097
2014,1,Bahawalpur,1224,604,50.65359477124183,0.31716964821182014,0.3234280810540203,0.46121083938530105,0.3890450239388461,0.36726952288371384,0.3492381182002212,0.4557442954771728,0.32774118228943744,0.4452279943973991,0.3070725816995861
